samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
45,60,0.5,3,1,0.246,0.333,6.64E-18,FALSE,TRUE
75,60,0.5,3,1,0.2,0.161,2.61E-07,FALSE,TRUE
30,60,0.5,3,1,0.335,0.514,4.89E-38,FALSE,TRUE
90,60,0.5,3,1,0.189,0.1,2.42E-18,FALSE,TRUE
15,60,0.5,3,1,0.403,0.735,2.15E-71,FALSE,TRUE
105,60,0.5,3,1,0.166,0.067,1.55E-20,FALSE,TRUE
60,60,0.8,3,1,0.007,0.007,1,FALSE,FALSE
45,60,0.8,3,1,0.025,0.044,0.008144182,FALSE,TRUE
75,60,0.8,3,1,0.006,0.004,1,FALSE,FALSE
30,60,0.8,3,1,0.049,0.134,1.83E-17,FALSE,TRUE
90,60,0.8,3,1,0.001,0,1,FALSE,FALSE
15,60,0.8,3,1,0.163,0.446,1.02E-60,FALSE,TRUE
105,60,0.8,3,1,0,0,1,FALSE,FALSE
